date,close,band,btc_weight_after,action,trade_usd,cash_after,btc_after,value_after
2020-03-03 00:00:00+00:00,8760.07,0.03,0.0,none,0.0,0.0,0.0,0.0
2020-03-10 00:00:00+00:00,7894.56,0.03,0.0,none,0.0,0.0,0.0,0.0
2020-03-17 00:00:00+00:00,5312.64,0.03,0.0,none,0.0,0.0,0.0,0.0
2020-03-24 00:00:00+00:00,6744.72,0.03,0.0,none,0.0,0.0,0.0,0.0
2020-03-31 00:00:00+00:00,6410.44,0.03,0.89991,buy,45.0,5.0,0.0070127791540050294,49.955
2020-04-07 00:00:00+00:00,7197.32,0.03,0.90987,none,0.0,5.0,0.0070127791540050294,55.4732
2020-04-14 00:00:00+00:00,6868.7,0.03,0.90596,none,0.0,5.0,0.0070127791540050294,53.1687
2020-04-21 00:00:00+00:00,6841.37,0.03,0.90562,none,0.0,5.0,0.0070127791540050294,52.977
2020-04-28 00:00:00+00:00,7738.98,0.03,0.89996,buy,44.0728,10.9272,0.012701998070972841,109.2277
2020-05-05 00:00:00+00:00,9021.83,0.03,0.91295,none,0.0,10.9272,0.012701998070972841,125.5224
2020-05-12 00:00:00+00:00,8810.79,0.03,0.91105,none,0.0,10.9272,0.012701998070972841,122.8418
2020-05-19 00:00:00+00:00,9775.53,0.03,0.91912,none,0.0,10.9272,0.012701998070972841,135.0959
2020-05-26 00:00:00+00:00,8841.18,0.03,0.91133,none,0.0,10.9272,0.012701998070972841,123.2278
2020-06-02 00:00:00+00:00,9518.04,0.03,0.89998,buy,42.7446,18.1825,0.017188415544317746,181.7826
2020-06-09 00:00:00+00:00,9772.43,0.03,0.90233,none,0.0,18.1825,0.017188415544317746,186.1551
2020-06-16 00:00:00+00:00,9525.59,0.03,0.90005,none,0.0,18.1825,0.017188415544317746,181.9123
2020-06-23 00:00:00+00:00,9624.89,0.03,0.90098,none,0.0,18.1825,0.017188415544317746,183.6191
2020-06-30 00:00:00+00:00,9138.55,0.03,0.89998,buy,45.6566,22.526,0.022179459100287416,225.2141
2020-07-07 00:00:00+00:00,9257.39,0.03,0.90114,none,0.0,22.526,0.022179459100287416,227.8499
2020-07-14 00:00:00+00:00,9255.85,0.03,0.90112,none,0.0,22.526,0.022179459100287416,227.8157
2020-07-21 00:00:00+00:00,9390.0,0.03,0.9024,none,0.0,22.526,0.022179459100287416,230.7911
2020-07-28 00:00:00+00:00,10906.27,0.03,0.91481,none,0.0,22.526,0.022179459100287416,264.4211
2020-08-04 00:00:00+00:00,11191.97,0.03,0.89999,buy,40.4502,32.0758,0.025790060359406966,320.7174
2020-08-11 00:00:00+00:00,11392.08,0.03,0.90157,none,0.0,32.0758,0.025790060359406966,325.8782
2020-08-18 00:00:00+00:00,11945.01,0.03,0.9057,none,0.0,32.0758,0.025790060359406966,340.1383
2020-08-25 00:00:00+00:00,11318.42,0.03,0.90099,none,0.0,32.0758,0.025790060359406966,323.9785
2020-09-01 00:00:00+00:00,11921.97,0.03,0.89999,buy,43.1214,38.9544,0.02940341027072757,389.501
2020-09-08 00:00:00+00:00,10126.65,0.03,0.88431,none,0.0,38.9544,0.02940341027072757,336.7125
2020-09-15 00:00:00+00:00,10785.31,0.03,0.8906,none,0.0,38.9544,0.02940341027072757,356.0793
2020-09-22 00:00:00+00:00,10529.61,0.03,0.88824,none,0.0,38.9544,0.02940341027072757,348.5609
2020-09-29 00:00:00+00:00,10840.48,0.03,0.89999,buy,48.1843,40.7701,0.03384381118405205,407.6533
2020-10-06 00:00:00+00:00,10599.66,0.03,0.89795,none,0.0,40.7701,0.03384381118405205,399.503
2020-10-13 00:00:00+00:00,11420.56,0.03,0.90458,none,0.0,40.7701,0.03384381118405205,427.2854
2020-10-20 00:00:00+00:00,11909.99,0.03,0.90814,none,0.0,40.7701,0.03384381118405205,443.8496
2020-10-27 00:00:00+00:00,13636.17,0.03,0.91883,none,0.0,40.7701,0.03384381118405205,502.2701
2020-11-03 00:00:00+00:00,14023.53,0.03,0.89999,buy,34.2322,56.538,0.036282422000523264,565.3456
2020-11-10 00:00:00+00:00,15297.21,0.03,0.90755,none,0.0,56.538,0.036282422000523264,611.5578
2020-11-17 00:00:00+00:00,17659.38,0.03,0.91891,none,0.0,56.538,0.036282422000523264,697.2631
