date,close,btc_weight,fng,warchest,slices_remaining,action,trade_usd,deployed_usd,cash_after,btc_after,value_after
2020-03-03 00:00:00+00:00,8760.07,0.0,38,0.0,0,hold,0.0,0.0,0.0,0.0,0.0
2020-03-10 00:00:00+00:00,7894.56,0.0,16,0.0,0,hold,0.0,0.0,0.0,0.0,0.0
2020-03-17 00:00:00+00:00,5312.64,0.0,8,0.0,0,hold,0.0,0.0,0.0,0.0,0.0
2020-03-24 00:00:00+00:00,6744.72,0.0,12,0.0,0,hold,0.0,0.0,0.0,0.0,0.0
2020-03-31 00:00:00+00:00,6410.44,1.0,12,2.994,3,deploy+trim+warchest_buy,47.006,0.998,0.0,0.007324146704282391,49.945005999
2020-04-07 00:00:00+00:00,7197.32,1.0,20,6.2089,2,trim+warchest_buy,-3.2149,0.998,0.0,0.006876739168475555,55.70301541846112
2020-04-14 00:00:00+00:00,6868.7,1.0,15,8.9859,1,trim+warchest_buy,-2.777,0.998,0.0,0.0064717516647091015,53.43840465125056
2020-04-21 00:00:00+00:00,6841.37,1.0,17,11.5264,0,trim+warchest_buy,-2.5405,0.998,0.0,0.006099743014992558,53.25699162543915
2020-04-28 00:00:00+00:00,7738.98,1.0,26,19.2911,0,deploy+trim,42.2353,0.0,0.0,0.011549755402173638,108.67440948999078
2020-05-05 00:00:00+00:00,9021.83,1.0,40,27.6187,0,trim,-8.3277,0.0,0.0,0.010625774969999746,123.48267721328683
2020-05-12 00:00:00+00:00,8810.79,1.0,39,35.101,0,trim,-7.4822,0.0,0.0,0.009775712972399767,121.23272394587025
2020-05-19 00:00:00+00:00,9775.53,1.0,50,42.7383,0,trim,-7.6374,0.0,0.0,0.008993655934607787,130.65610025682855
2020-05-26 00:00:00+00:00,8841.18,1.0,39,49.0931,0,trim,-6.3548,0.0,0.0,0.008274163459839164,122.24651667184969
2020-06-02 00:00:00+00:00,9518.04,1.0,56,59.3792,0,deploy+trim,39.714,0.0,0.0,0.012440325242918136,177.78667064577425
2020-06-09 00:00:00+00:00,9772.43,1.0,52,69.0952,0,trim,-9.7161,0.0,0.0,0.011445099223484684,180.9416392077111
2020-06-16 00:00:00+00:00,9525.59,1.0,39,77.8082,0,trim,-8.713,0.0,0.0,0.01052949128560591,178.10780920956915
2020-06-23 00:00:00+00:00,9624.89,1.0,41,85.9077,0,trim,-8.0995,0.0,0.0,0.00968713198275744,179.14528007859943
2020-06-30 00:00:00+00:00,9138.55,1.0,44,96.9747,0,deploy+trim,38.933,0.0,0.0,0.013940749110367155,224.3729622029067
2020-07-07 00:00:00+00:00,9257.39,1.0,43,107.2888,0,trim,-10.3141,0.0,0.0,0.012825489181537784,226.0193564310702
2020-07-14 00:00:00+00:00,9255.85,1.0,43,116.7762,0,trim,-9.4874,0.0,0.0,0.01179945004701476,225.99010831340735
2020-07-21 00:00:00+00:00,9390.0,1.0,44,125.6311,0,trim,-8.8549,0.0,0.0,0.010855494043253578,227.56414079033908
2020-07-28 00:00:00+00:00,10906.27,1.0,76,135.093,0,trim,-9.462,0.0,0.0,0.009987054519793292,244.01452930738162
2020-08-04 00:00:00+00:00,11191.97,1.0,72,148.0181,0,deploy+trim,37.075,0.0,0.0,0.013294069713194339,296.80489279852065
2020-08-11 00:00:00+00:00,11392.08,1.0,84,160.1217,0,trim,-12.1037,0.0,0.0,0.012230544136138792,299.4530533203721
2020-08-18 00:00:00+00:00,11945.01,1.0,82,171.7975,0,trim,-11.6758,0.0,0.0,0.01125210060524769,306.20400057180643
2020-08-25 00:00:00+00:00,11318.42,1.0,75,181.9758,0,trim,-10.1783,0.0,0.0,0.010351932556827875,299.14335837352166
2020-09-01 00:00:00+00:00,11921.97,1.0,75,195.8312,0,deploy+trim,36.1446,0.0,0.0,0.013378342256670938,355.32739803384436
2020-09-08 00:00:00+00:00,10126.65,1.0,41,206.6586,0,trim,-10.8274,0.0,0.0,0.012308074876137262,331.2981543904288
2020-09-15 00:00:00+00:00,10785.31,1.0,47,217.2677,0,trim,-10.6091,0.0,0.0,0.011323428886046281,339.394371276102
2020-09-22 00:00:00+00:00,10529.61,1.0,39,226.7966,0,trim,-9.529,0.0,0.0,0.01041755457516258,336.48943200673733
2020-09-29 00:00:00+00:00,10840.48,1.0,45,239.8141,0,deploy+trim,36.9825,0.0,0.0,0.013823261392418214,389.66490669415646
2020-10-06 00:00:00+00:00,10599.66,1.0,47,251.5241,0,trim,-11.71,0.0,0.0,0.012717400481024758,386.32426713596624
2020-10-13 00:00:00+00:00,11420.56,1.0,56,263.1317,0,trim,-11.6076,0.0,0.0,0.01170000844254278,396.7523620040204
