date,close,btc_weight,dip_pct,sleeve_frac,action,trade_usd,cash_after,btc_after,value_after,phase
2020-03-03 00:00:00+00:00,8760.07,0.0,0.1562,0.0,hold,0.0,0.0,0.0,0.0,live
2020-03-10 00:00:00+00:00,7894.56,0.0,0.2337,0.0,hold,0.0,0.0,0.0,0.0,live
2020-03-17 00:00:00+00:00,5312.64,0.0,0.4767,0.0,hold,0.0,0.0,0.0,0.0,live
2020-03-24 00:00:00+00:00,6744.72,0.0,0.3356,0.0,hold,0.0,0.0,0.0,0.0,live
2020-03-31 00:00:00+00:00,6410.44,0.0,0.3685,1.0,dip_buy,50.0,0.0,0.007791976837783367,49.95,live
2020-04-07 00:00:00+00:00,7197.32,1.0,0.291,0.0,hold,0.0,0.0,0.007791976837783367,56.08135073411498,live
2020-04-14 00:00:00+00:00,6868.7,1.0,0.3234,0.0,hold,0.0,0.0,0.007791976837783367,53.52075130568261,live
2020-04-21 00:00:00+00:00,6841.37,1.0,0.3261,0.0,hold,0.0,0.0,0.007791976837783367,53.30779657870599,live
2020-04-28 00:00:00+00:00,7738.98,0.5467,0.2377,0.4533,dip_buy,47.5341,2.465929519540957,0.013927996883057885,110.25441883758828,live
2020-05-05 00:00:00+00:00,9021.83,0.9808,0.1113,0.0192,dip_buy,1.0979,1.3680683300042886,0.014049564605831106,128.12085177782953,live
2020-05-12 00:00:00+00:00,8810.79,0.9891,0.1321,0.0109,dip_buy,0.7228,0.6452274768301859,0.014131522978726264,125.15510882256177,live
2020-05-19 00:00:00+00:00,9775.53,0.9954,0.0371,0.0046,dip_buy,0.0956,0.5495799357331131,0.014141297578523511,138.78825865351706,live
2020-05-26 00:00:00+00:00,8841.18,0.9956,0.1291,0.0044,dip_buy,0.2838,0.26578138814329033,0.014173365102207253,125.57505346247602,live
2020-06-02 00:00:00+00:00,9518.04,0.7285,0.0624,0.2715,dip_buy,12.5511,37.714673126619815,0.015490711651839526,185.15588625729453,live
2020-06-09 00:00:00+00:00,9772.43,0.8006,0.0374,0.1994,dip_buy,5.6368,32.077840142990624,0.016066944600107824,189.09093156142234,live
2020-06-16 00:00:00+00:00,9525.59,0.8267,0.0617,0.1733,dip_buy,7.9142,24.16359466455193,0.016896954209272216,185.11705271085327,live
2020-06-23 00:00:00+00:00,9624.89,0.8706,0.0519,0.1294,dip_buy,5.0162,19.14738308134082,0.017417603834527975,186.78990405225076,live
2020-06-30 00:00:00+00:00,9138.55,0.6971,0.0998,0.3029,dip_buy,27.6051,41.542239716693516,0.020435318704095103,228.2914214600018,live
2020-07-07 00:00:00+00:00,9257.39,0.8199,0.0881,0.1801,dip_buy,14.6393,26.90290462155345,0.022015104773391626,230.70531539970136,live
2020-07-14 00:00:00+00:00,9255.85,0.8834,0.0883,0.1166,dip_buy,9.4968,17.406093825208103,0.023040112091525455,230.661915327554,live
2020-07-21 00:00:00+00:00,9390.0,0.9255,0.075,0.0745,dip_buy,5.2244,12.181736656699314,0.023595930282296517,233.7475220074636,live
2020-07-28 00:00:00+00:00,10906.27,0.9548,0.0,0.0452,hold,0.0,12.181736656699314,0.023595930282296517,269.52532321660135,live
2020-08-04 00:00:00+00:00,11191.97,0.8094,0.0,0.1906,hold,0.0,62.181736656699314,0.023595930282296517,326.26668049825344,live
2020-08-11 00:00:00+00:00,11392.08,0.8121,0.0248,0.1879,hold,0.0,62.181736656699314,0.023595930282296517,330.9884621070438,live
2020-08-18 00:00:00+00:00,11945.01,0.8193,0.0,0.1807,hold,0.0,62.181736656699314,0.023595930282296517,344.0353598380341,live
2020-08-25 00:00:00+00:00,11318.42,0.8111,0.0498,0.1889,dip_buy,12.3743,49.807409225576194,0.024688128054043103,329.2380115550187,live
2020-09-01 00:00:00+00:00,11921.97,0.7468,0.0,0.2532,drift_redeploy,20.3637,79.44373077749275,0.026394499968217973,394.1181675635884,live
2020-09-08 00:00:00+00:00,10126.65,0.7709,0.1498,0.2291,dip_buy,47.6049,31.838854272474123,0.031090749135367385,346.68398900414223,live
2020-09-15 00:00:00+00:00,10785.31,0.9133,0.0945,0.0867,dip_buy,12.0362,19.802692786123217,0.032205610490753975,367.15018566815695,live
2020-09-22 00:00:00+00:00,10529.61,0.9448,0.116,0.0552,dip_buy,9.1865,10.616145296299445,0.033077187020400745,358.90602451818137,live
2020-09-29 00:00:00+00:00,10840.48,0.8554,0.0899,0.1446,dip_buy,21.7919,38.82425683602088,0.03508540958728139,419.166937758753,live
2020-10-06 00:00:00+00:00,10599.66,0.9055,0.1101,0.0945,dip_buy,17.0974,21.72685075446681,0.03669681114879115,410.7005720158624,live
2020-10-13 00:00:00+00:00,11420.56,0.9507,0.0412,0.0493,dip_buy,3.5784,18.1484050541828,0.03700983146080595,440.82140584220474,live
2020-10-20 00:00:00+00:00,11909.99,0.9605,0.0001,0.0395,hold,0.0,18.1484050541828,0.03700983146080595,458.935127654067,live
2020-10-27 00:00:00+00:00,13636.17,0.9653,0.0,0.0347,hold,0.0,18.1484050541828,0.03700983146080595,522.820758525081,live
2020-11-03 00:00:00+00:00,14023.53,0.8839,0.0,0.1161,hold,0.0,68.1484050541828,0.03700983146080595,587.156886839739,live
2020-11-10 00:00:00+00:00,15297.21,0.8926,0.0115,0.1074,hold,0.0,68.1484050541828,0.03700983146080595,634.2955689747382,live
2020-11-17 00:00:00+00:00,17659.38,0.9056,0.0,0.0944,hold,0.0,68.1484050541828,0.03700983146080595,721.7190825565102,live
2020-11-24 00:00:00+00:00,19160.01,0.9123,0.0,0.0877,hold,0.0,68.1484050541828,0.03700983146080595,777.2571459415393,live
2020-12-01 00:00:00+00:00,18764.96,0.8546,0.0,0.1454,hold,0.0,118.1484050541828,0.03700983146080595,812.636412022948,live
2020-12-08 00:00:00+00:00,18324.11,0.8516,0.0535,0.1484,dip_buy,25.2731,92.87533620524223,0.03838767713953695,796.2953547546027,live
2020-12-15 00:00:00+00:00,19426.43,0.8893,0.0,0.1107,hold,0.0,92.87533620524223,0.03838767713953695,838.6108590190571,live
2020-12-22 00:00:00+00:00,23810.79,0.9078,0.0,0.0922,hold,0.0,92.87533620524223,0.03838767713953695,1006.9162551625574,live
2020-12-29 00:00:00+00:00,27385.0,0.8804,0.0,0.1196,hold,0.0,142.87533620524223,0.03838767713953695,1194.1218746714617,live
2021-01-05 00:00:00+00:00,33949.53,0.9012,0.0,0.0988,hold,0.0,142.87533620524223,0.03838767713953695,1446.1189328842663,live
2021-01-12 00:00:00+00:00,34051.24,0.9015,0.1074,0.0985,dip_buy,61.4012,81.47410280810927,0.04018907503763804,1449.9619422927312,live
2021-01-19 00:00:00+00:00,35891.49,0.9465,0.0592,0.0535,dip_buy,19.2935,62.18061825264125,0.04072608788026209,1523.9005941461892,live
2021-01-26 00:00:00+00:00,32467.77,0.9551,0.1489,0.0449,dip_buy,37.0459,25.13468034056985,0.04186595341380995,1384.4288266108663,live
2021-02-02 00:00:00+00:00,35466.24,0.9518,0.0703,0.0482,dip_buy,21.1423,53.992363518254734,0.042461482415629505,1559.9414896267504,live
2021-02-09 00:00:00+00:00,46420.42,0.9733,0.0,0.0267,hold,0.0,53.992363518254734,0.042461482415629505,2025.072211074391,live
2021-02-16 00:00:00+00:00,49133.45,0.9748,0.0,0.0252,hold,0.0,53.992363518254734,0.042461482415629505,2140.2714867124664,live
2021-02-23 00:00:00+00:00,48891.0,0.9747,0.1484,0.0253,dip_buy,32.0429,21.949500528831315,0.04311622091814395,2129.9446574378076,live
2021-03-02 00:00:00+00:00,48440.65,0.9667,0.1562,0.0333,dip_buy,44.9576,26.99193654265178,0.044043388625889274,2160.482309783335,live
2021-03-09 00:00:00+00:00,54884.5,0.989,0.044,0.011,dip_buy,4.747,22.24494233818293,0.04412979275110248,2444.286552586067,live
2021-03-16 00:00:00+00:00,56900.75,0.9912,0.0351,0.0088,dip_buy,3.1198,19.12511387569293,0.04418456722479619,2533.2601273920145,live
2021-03-23 00:00:00+00:00,54340.89,0.9921,0.0785,0.0079,dip_buy,6.0032,13.121893878331027,0.044294930098451084,2420.1478179159503,live
2021-03-30 00:00:00+00:00,58746.57,0.9763,0.0038,0.0237,hold,0.0,63.12189387833103,0.044294930098451084,2665.2971055520943,live
2021-04-06 00:00:00+00:00,57991.15,0.976,0.0166,0.024,hold,0.0,63.12189387833103,0.044294930098451084,2631.8358294571226,live
2021-04-13 00:00:00+00:00,63575.0,0.9781,0.0,0.0219,hold,0.0,63.12189387833103,0.044294930098451084,2879.1720748873586,live
2021-04-20 00:00:00+00:00,56425.0,0.9754,0.0596,0.0246,dip_buy,15.0537,48.06822643071881,0.04456145404670389,2562.448271015986,live
2021-04-27 00:00:00+00:00,55011.97,0.9808,0.0832,0.0192,dip_buy,15.9915,32.07670333584116,0.044851855055280436,2499.465608081277,live
2021-05-04 00:00:00+00:00,53200.01,0.9667,0.1134,0.0333,dip_buy,37.2198,44.85686351896758,0.045550776352044416,2468.1586209554944,live
2021-05-11 00:00:00+00:00,56670.02,0.9829,0.0555,0.0171,dip_buy,9.965,34.89183639861643,0.04572644352303237,2626.2103053777314,live
2021-05-18 00:00:00+00:00,42849.78,0.9825,0.2859,0.0175,dip_buy,34.8918,0.0,0.04653991198336561,1994.22498970658,live
2021-05-25 00:00:00+00:00,38324.72,1.0,0.3613,0.0,hold,0.0,0.0,0.04653991198336561,1783.6290955871316,live
2021-06-01 00:00:00+00:00,36693.09,0.9716,0.3885,0.0284,dip_buy,50.0,0.0,0.04790120371431549,1757.6431789977125,live
2021-06-08 00:00:00+00:00,33380.81,1.0,0.4437,0.0,hold,0.0,0.0,0.04790120371431549,1598.9809799588595,live
2021-06-15 00:00:00+00:00,40144.04,1.0,0.331,0.0,hold,0.0,0.0,0.04790120371431549,1922.9478379556297,live
2021-06-22 00:00:00+00:00,32509.56,1.0,0.4582,0.0,hold,0.0,0.0,0.04790120371431549,1557.2470562227625,live
2021-06-29 00:00:00+00:00,35911.73,0.9718,0.4015,0.0282,dip_buy,50.0,0.0,0.04929211414942959,1770.1650944634953,live
2021-07-06 00:00:00+00:00,34220.01,1.0,0.4297,0.0,hold,0.0,0.0,0.04929211414942959,1686.7766391146222,live
2021-07-13 00:00:00+00:00,32729.77,1.0,0.4545,0.0,hold,0.0,0.0,0.04929211414942959,1613.319558924576,live
2021-07-20 00:00:00+00:00,29790.35,1.0,0.5035,0.0,hold,0.0,0.0,0.04929211414942959,1468.4293327514597,live
2021-07-27 00:00:00+00:00,39457.87,1.0,0.3424,0.0,hold,0.0,0.0,0.04929211414942959,1944.9618321333535,live
2021-08-03 00:00:00+00:00,38207.05,0.9741,0.3632,0.0259,dip_buy,50.0,0.0,0.05059946449445754,1933.2562699129642,live
2021-08-10 00:00:00+00:00,45584.99,1.0,0.2403,0.0,hold,0.0,0.0,0.05059946449445754,2306.576082985202,live
2021-08-17 00:00:00+00:00,44695.95,1.0,0.2551,0.0,hold,0.0,0.0,0.05059946449445754,2261.5911350710494,live
2021-08-24 00:00:00+00:00,47674.01,1.0,0.2055,0.0,hold,0.0,0.0,0.05059946449445754,2412.2793763034138,live
2021-08-31 00:00:00+00:00,47100.89,0.9795,0.215,0.0205,dip_buy,43.0034,6.996608304030346,0.051511557414660826,2433.236807820654,live
2021-09-07 00:00:00+00:00,46863.73,0.9971,0.219,0.0029,dip_buy,6.1282,0.868433993479024,0.051642192473719095,2421.014198689883,live
2021-09-14 00:00:00+00:00,47111.52,0.9996,0.2148,0.0004,dip_buy,0.7463,0.12213725510501561,0.05165801769951601,2433.809871266207,live
2021-09-21 00:00:00+00:00,40734.38,0.9999,0.3211,0.0001,dip_buy,0.1221,0.0,0.051661013083706214,2104.3793381366604,live
2021-09-28 00:00:00+00:00,41026.54,0.977,0.3163,0.023,dip_buy,50.0,0.0,0.05287851765513729,2169.4226197191965,live
2021-10-05 00:00:00+00:00,51471.99,1.0,0.1422,0.0,hold,0.0,0.0,0.05287851765513729,2721.76253196005,live
2021-10-12 00:00:00+00:00,55996.93,1.0,0.0385,0.0,hold,0.0,0.0,0.05287851765513729,2961.034651638487,live
2021-10-19 00:00:00+00:00,64280.59,1.0,0.0,0.0,hold,0.0,0.0,0.05287851765513729,3399.0623131976413,live
2021-10-26 00:00:00+00:00,60328.81,1.0,0.0195,0.0,hold,0.0,0.0,0.05287851765513729,3190.098044698423,live
2021-11-02 00:00:00+00:00,63219.99,0.9853,0.0,0.0147,hold,0.0,50.0,0.05287851765513729,3392.979357372603,live
2021-11-09 00:00:00+00:00,66947.66,0.9861,0.0,0.0139,hold,0.0,50.0,0.05287851765513729,3590.093021280129,live
2021-11-16 00:00:00+00:00,60058.87,0.9845,0.0833,0.0155,dip_buy,16.6676,33.33240230711351,0.05315576113466319,3225.807350044903,live
2021-11-23 00:00:00+00:00,57541.27,0.9892,0.1218,0.0108,dip_buy,16.2347,17.09773247204194,0.053437618576552055,3091.966171142439,live
2021-11-30 00:00:00+00:00,56950.56,0.9784,0.1308,0.0216,dip_buy,35.1,31.997762869529673,0.05405332577298541,3110.364935503482,live
2021-12-07 00:00:00+00:00,50588.95,0.9884,0.2279,0.0116,dip_buy,29.1659,2.831831145405957,0.054629276959803866,2766.4695918010757,live
2021-12-14 00:00:00+00:00,48343.28,0.9989,0.2621,0.0011,dip_buy,2.8318,0.0,0.054687795937296925,2643.7874315796075,live
2021-12-21 00:00:00+00:00,48889.88,1.0,0.2538,0.0,hold,0.0,0.0,0.054687795937296925,2673.679780838934,live
2021-12-28 00:00:00+00:00,47543.74,1.0,0.2744,0.0,hold,0.0,0.0,0.054687795937296925,2600.0623512159013,live
2022-01-04 00:00:00+00:00,45832.01,0.9804,0.3005,0.0196,dip_buy,50.0,0.0,0.05577764558604678,2556.401610276152,live
2022-01-11 00:00:00+00:00,42729.29,1.0,0.3478,0.0,hold,0.0,0.0,0.05577764558604678,2383.339193763413,live
2022-01-18 00:00:00+00:00,42352.12,1.0,0.3536,0.0,hold,0.0,0.0,0.05577764558604678,2362.301539177724,live
2022-01-25 00:00:00+00:00,36958.32,1.0,0.4359,0.0,hold,0.0,0.0,0.05577764558604678,2061.4480744157045,live
2022-02-01 00:00:00+00:00,38694.59,0.9774,0.4094,0.0226,dip_buy,50.0,0.0,0.057068523716555464,2208.2431271173896,live
2022-02-08 00:00:00+00:00,44042.99,1.0,0.3278,0.0,hold,0.0,0.0,0.057068523716555464,2513.468419363015,live
2022-02-15 00:00:00+00:00,44544.86,1.0,0.3201,0.0,hold,0.0,0.0,0.057068523716555464,2542.109399360643,live
2022-02-22 00:00:00+00:00,38230.33,1.0,0.4165,0.0,hold,0.0,0.0,0.057068523716555464,2181.748494296742,live
2022-03-01 00:00:00+00:00,44421.2,0.9807,0.322,0.0193,dip_buy,50.0,0.0,0.05819298681075373,2585.0023057178532,live
2022-03-08 00:00:00+00:00,38730.63,1.0,0.4089,0.0,hold,0.0,0.0,0.05819298681075373,2253.8510407621825,live
2022-03-15 00:00:00+00:00,39280.33,1.0,0.4005,0.0,hold,0.0,0.0,0.05819298681075373,2285.8397256120543,live
2022-03-22 00:00:00+00:00,42364.13,1.0,0.3534,0.0,hold,0.0,0.0,0.05819298681075373,2465.295258339056,live
