date,close,btc_weight,fng,drip_pending,action,trade_usd,cash_after,btc_after,value_after
2020-03-03 00:00:00+00:00,8760.07,0.0,38,0.0,hold,0.0,0.0,0.0,0.0
2020-03-10 00:00:00+00:00,7894.56,0.0,16,0.0,hold,0.0,0.0,0.0,0.0
2020-03-17 00:00:00+00:00,5312.64,0.0,8,0.0,hold,0.0,0.0,0.0,0.0
2020-03-24 00:00:00+00:00,6744.72,0.0,12,0.0,hold,0.0,0.0,0.0,0.0
2020-03-31 00:00:00+00:00,6410.44,1.0,12,0.0,deploy,50.0,0.0,0.007791976837783367,49.95
2020-04-07 00:00:00+00:00,7197.32,1.0,20,0.0,hold,0.0,0.0,0.007791976837783367,56.08135073411498
2020-04-14 00:00:00+00:00,6868.7,1.0,15,0.0,hold,0.0,0.0,0.007791976837783367,53.52075130568261
2020-04-21 00:00:00+00:00,6841.37,1.0,17,0.0,hold,0.0,0.0,0.007791976837783367,53.30779657870599
2020-04-28 00:00:00+00:00,7738.98,1.0,26,0.0,deploy,50.0,0.0,0.0142463157816752,110.25195290806873
2020-05-05 00:00:00+00:00,9021.83,1.0,40,0.0,hold,0.0,0.0,0.0142463157816752,128.52783910859077
2020-05-12 00:00:00+00:00,8810.79,1.0,39,0.0,hold,0.0,0.0,0.0142463157816752,125.52129662602604
2020-05-19 00:00:00+00:00,9775.53,1.0,50,0.0,hold,0.0,0.0,0.0142463157816752,139.26528731323938
2020-05-26 00:00:00+00:00,8841.18,1.0,39,0.0,hold,0.0,0.0,0.0142463157816752,125.95424216263115
2020-06-02 00:00:00+00:00,9518.04,1.0,56,0.0,deploy,50.0,0.0,0.019494244977181836,185.54700346261583
2020-06-09 00:00:00+00:00,9772.43,1.0,52,0.0,hold,0.0,0.0,0.019494244977181836,190.5061444423611
2020-06-16 00:00:00+00:00,9525.59,1.0,39,0.0,hold,0.0,0.0,0.019494244977181836,185.69418501219354
2020-06-23 00:00:00+00:00,9624.89,1.0,41,0.0,hold,0.0,0.0,0.019494244977181836,187.62996353842766
2020-06-30 00:00:00+00:00,9138.55,1.0,44,0.0,deploy,50.0,0.0,0.024960101157866958,228.09913243622506
2020-07-07 00:00:00+00:00,9257.39,1.0,43,0.0,hold,0.0,0.0,0.024960101157866958,231.06539085782597
2020-07-14 00:00:00+00:00,9255.85,1.0,43,0.0,hold,0.0,0.0,0.024960101157866958,231.0269523020429
2020-07-21 00:00:00+00:00,9390.0,1.0,44,0.0,hold,0.0,0.0,0.024960101157866958,234.37534987237072
2020-07-28 00:00:00+00:00,10906.27,1.0,76,0.0,hold,0.0,0.0,0.024960101157866958,272.2216024550097
2020-08-04 00:00:00+00:00,11191.97,1.0,72,0.0,deploy,50.0,0.0,0.029423122413284906,329.30270335581224
2020-08-11 00:00:00+00:00,11392.08,1.0,84,0.0,hold,0.0,0.0,0.029423122413284906,335.19056438193473
2020-08-18 00:00:00+00:00,11945.01,1.0,82,0.0,hold,0.0,0.0,0.029423122413284906,351.45949145791235
2020-08-25 00:00:00+00:00,11318.42,1.0,75,0.0,hold,0.0,0.0,0.029423122413284906,333.0232571849721
2020-09-01 00:00:00+00:00,11921.97,1.0,75,0.0,deploy,50.0,0.0,0.0336128662224037,400.7315827175102
2020-09-08 00:00:00+00:00,10126.65,1.0,41,0.0,hold,0.0,0.0,0.0336128662224037,340.3857317311044
2020-09-15 00:00:00+00:00,10785.31,1.0,47,0.0,hold,0.0,0.0,0.0336128662224037,362.5251821971528
2020-09-22 00:00:00+00:00,10529.61,1.0,39,0.0,hold,0.0,0.0,0.0336128662224037,353.93037230408424
2020-09-29 00:00:00+00:00,10840.48,1.0,45,0.0,deploy,50.0,0.0,0.038220595769434824,414.3296040266428
2020-10-06 00:00:00+00:00,10599.66,1.0,47,0.0,hold,0.0,0.0,0.038220595769434824,405.12532015344755
2020-10-13 00:00:00+00:00,11420.56,1.0,56,0.0,hold,0.0,0.0,0.038220595769434824,436.50060722057657
2020-10-20 00:00:00+00:00,11909.99,1.0,56,0.0,hold,0.0,0.0,0.038220595769434824,455.2069134080111
2020-10-27 00:00:00+00:00,13636.17,1.0,61,0.0,hold,0.0,0.0,0.038220595769434824,521.1825414132941
2020-11-03 00:00:00+00:00,14023.53,1.0,71,0.0,deploy,50.0,0.0,0.041782466425396625,585.9376713905424
2020-11-10 00:00:00+00:00,15297.21,1.0,90,51.0813,trim,-51.0813,0.0,0.0384398691113649,588.0227501690622
2020-11-17 00:00:00+00:00,17659.38,1.0,86,38.311,drip_buy,12.7703,0.0,0.03916229253965734,691.581805628974
2020-11-24 00:00:00+00:00,19160.01,1.0,88,25.5406,drip_buy,12.7703,0.0,0.03982813508572694,763.107466523879
2020-12-01 00:00:00+00:00,18764.96,1.0,95,77.512,trim,-64.7417,0.0,0.039716281765131985,745.2744386714311
2020-12-08 00:00:00+00:00,18324.11,1.0,95,109.0311,trim,-60.4748,0.0,0.037991308344146095,696.1569131420509
2020-12-15 00:00:00+00:00,19426.43,1.0,91,139.2101,trim,-61.4831,0.0,0.03643302713850752,707.7636513943166
2020-12-22 00:00:00+00:00,23810.79,1.0,88,92.5352,drip_buy,46.6749,0.0,0.038391308823623335,914.1273922244424
2020-12-29 00:00:00+00:00,27385.0,1.0,91,137.6024,trim,-91.7421,0.0,0.03856455314997476,1056.0902880120589
2021-01-05 00:00:00+00:00,33949.53,1.0,93,193.078,trim,-108.9006,0.0,0.03692570835562711,1253.6104435906134
2021-01-12 00:00:00+00:00,34051.24,1.0,84,127.5465,drip_buy,65.5315,0.0,0.03884827926046716,1322.8320806851898
2021-01-19 00:00:00+00:00,35891.49,1.0,80,77.3858,drip_buy,50.1607,0.0,0.04024444626020915,1444.433140503834
2021-01-26 00:00:00+00:00,32467.77,1.0,71,27.2251,drip_buy,50.1607,0.0,0.041787838797164086,1356.7579388634
2021-02-02 00:00:00+00:00,35466.24,1.0,76,0.0,drip+deploy,77.2251,0.0,0.04396308836966254,1559.2054432596603
2021-02-09 00:00:00+00:00,46420.42,1.0,95,163.0995,trim,-163.0995,0.0,0.04044604130008954,1877.5222244875024
2021-02-16 00:00:00+00:00,49133.45,1.0,95,284.4014,trim,-162.0768,0.0,0.03797308443094936,1865.7486452338285
2021-02-23 00:00:00+00:00,48891.0,1.0,94,357.9727,trim,-154.8654,0.0,0.03646344862378591,1782.7344666655167
2021-03-02 00:00:00+00:00,48440.65,1.0,78,237.9623,drip+deploy,170.0104,0.0,0.03996960326498059,1936.1535623977823
2021-03-09 00:00:00+00:00,54884.5,1.0,81,117.9519,drip_buy,120.0104,0.0,0.04215401616516165,2313.6021002168145
2021-03-16 00:00:00+00:00,56900.75,1.0,71,38.7163,drip_buy,79.2355,0.0,0.043545145453844386,2477.751435182836
2021-03-23 00:00:00+00:00,54340.89,1.0,66,0.0,drip_buy,38.7163,0.0,0.044256904603580775,2404.9595848036765
2021-03-30 00:00:00+00:00,58746.57,1.0,72,0.0,deploy,50.0,0.0,0.04510716701039023,2649.89134427758
2021-04-06 00:00:00+00:00,57991.15,1.0,75,0.0,hold,0.0,0.0,0.04510716701039023,2615.816488174591
2021-04-13 00:00:00+00:00,63575.0,1.0,74,0.0,hold,0.0,0.0,0.04510716701039023,2867.688142685559
2021-04-20 00:00:00+00:00,56425.0,1.0,73,0.0,hold,0.0,0.0,0.04510716701039023,2545.1718985612683
2021-04-27 00:00:00+00:00,55011.97,1.0,50,0.0,hold,0.0,0.0,0.04510716701039023,2481.434118360577
2021-05-04 00:00:00+00:00,53200.01,1.0,68,0.0,deploy,50.0,0.0,0.04604607660833955,2449.65173602443
2021-05-11 00:00:00+00:00,56670.02,1.0,61,0.0,hold,0.0,0.0,0.04604607660833955,2609.4320823161343
2021-05-18 00:00:00+00:00,42849.78,1.0,21,0.0,hold,0.0,0.0,0.04604607660833955,1973.0642525304959
2021-05-25 00:00:00+00:00,38324.72,1.0,22,0.0,hold,0.0,0.0,0.04604607660833955,1764.702993113163
2021-06-01 00:00:00+00:00,36693.09,1.0,20,0.0,deploy,50.0,0.0,0.047407368339289435,1739.5228331366977
2021-06-08 00:00:00+00:00,33380.81,1.0,13,0.0,hold,0.0,0.0,0.047407368339289435,1582.496355133836
2021-06-15 00:00:00+00:00,40144.04,1.0,38,0.0,hold,0.0,0.0,0.047407368339289435,1903.1232909071687
2021-06-22 00:00:00+00:00,32509.56,1.0,10,0.0,hold,0.0,0.0,0.047407368339289435,1541.1926854682304
2021-06-29 00:00:00+00:00,35911.73,1.0,25,0.0,deploy,50.0,0.0,0.048798278774403535,1752.4306118111108
2021-07-06 00:00:00+00:00,34220.01,1.0,20,0.0,hold,0.0,0.0,0.048798278774403535,1669.8775876428767
2021-07-13 00:00:00+00:00,32729.77,1.0,20,0.0,hold,0.0,0.0,0.048798278774403535,1597.1564406821096
2021-07-20 00:00:00+00:00,29790.35,1.0,19,0.0,hold,0.0,0.0,0.048798278774403535,1453.7178040870522
2021-07-27 00:00:00+00:00,39457.87,1.0,32,0.0,hold,0.0,0.0,0.048798278774403535,1925.4761401041742
2021-08-03 00:00:00+00:00,38207.05,1.0,48,0.0,deploy,50.0,0.0,0.050105629119431484,1914.3882770475748
2021-08-10 00:00:00+00:00,45584.99,1.0,71,0.0,hold,0.0,0.0,0.050105629119431484,2284.064602352993
2021-08-17 00:00:00+00:00,44695.95,1.0,72,0.0,hold,0.0,0.0,0.050105629119431484,2239.5186938406537
2021-08-24 00:00:00+00:00,47674.01,1.0,79,0.0,hold,0.0,0.0,0.050105629119431484,2388.736263696068
2021-08-31 00:00:00+00:00,47100.89,1.0,73,0.0,deploy,50.0,0.0,0.05116611863459776,2409.9697255351393
2021-09-07 00:00:00+00:00,46863.73,1.0,79,0.0,hold,0.0,0.0,0.05116611863459776,2397.8351688397584
2021-09-14 00:00:00+00:00,47111.52,1.0,30,0.0,hold,0.0,0.0,0.05116611863459776,2410.513621376225
2021-09-21 00:00:00+00:00,40734.38,1.0,27,0.0,hold,0.0,0.0,0.05116611863459776,2084.220119586786
2021-09-28 00:00:00+00:00,41026.54,1.0,25,0.0,deploy,50.0,0.0,0.05238362320602884,2149.1188128070703
2021-10-05 00:00:00+00:00,51471.99,1.0,59,0.0,hold,0.0,0.0,0.05238362320602884,2696.289329824484
2021-10-12 00:00:00+00:00,55996.93,1.0,78,0.0,hold,0.0,0.0,0.05238362320602884,2933.3220818143723
2021-10-19 00:00:00+00:00,64280.59,1.0,75,0.0,hold,0.0,0.0,0.05238362320602884,3367.250206021225
2021-10-26 00:00:00+00:00,60328.81,1.0,76,0.0,hold,0.0,0.0,0.05238362320602884,3160.2416515081045
2021-11-02 00:00:00+00:00,63219.99,1.0,73,0.0,deploy,50.0,0.0,0.05317372140123577,3361.642135248911
2021-11-09 00:00:00+00:00,66947.66,1.0,84,0.0,hold,0.0,0.0,0.05317372140123577,3559.8562213046557
2021-11-16 00:00:00+00:00,60058.87,1.0,71,0.0,hold,0.0,0.0,0.05317372140123577,3193.5536210530367
