date,close,btc_weight,drip_pending,held_cash,action,trade_usd,cash_after,btc_after,value_after
2020-03-03 00:00:00+00:00,8760.07,0.0,0.0,0.0,hold,0.0,0.0,0.0,0.0
2020-03-10 00:00:00+00:00,7894.56,0.0,0.0,0.0,hold,0.0,0.0,0.0,0.0
2020-03-17 00:00:00+00:00,5312.64,0.0,0.0,0.0,hold,0.0,0.0,0.0,0.0
2020-03-24 00:00:00+00:00,6744.72,0.0,0.0,0.0,hold,0.0,0.0,0.0,0.0
2020-03-31 00:00:00+00:00,6410.44,1.0,3.992,0.0,trim,-3.992,0.0,0.0071686186907606985,45.95400000000001
2020-04-07 00:00:00+00:00,7197.32,1.0,7.1971,0.0,trim,-4.2031,0.0,0.006722571459992738,48.384498020434926
2020-04-14 00:00:00+00:00,6868.7,1.0,9.0023,0.0,trim,-3.8539,0.0,0.006458907619714034,44.36429876752979
2020-04-21 00:00:00+00:00,6841.37,1.0,9.762,0.0,trim,-3.772,0.0,0.006346866968815321,43.421265274444075
2020-04-28 00:00:00+00:00,7738.98,1.0,14.0401,0.0,trim,-8.2333,0.0,0.012246835414075695,94.77801433282352
2020-05-05 00:00:00+00:00,9021.83,1.0,18.2552,0.0,trim,-9.2307,0.0,0.01177804126170403,106.25948599607926
2020-05-12 00:00:00+00:00,8810.79,1.0,20.7771,0.0,trim,-8.7944,0.0,0.011490099577456335,101.2368544560565
2020-05-19 00:00:00+00:00,9775.53,1.0,22.8457,0.0,trim,-9.5762,0.0,0.011276745052484813,110.23615956291687
2020-05-26 00:00:00+00:00,8841.18,1.0,22.5703,0.0,trim,-8.6833,0.0,0.011305897212122289,99.95747231387135
2020-06-02 00:00:00+00:00,9518.04,1.0,26.8156,0.0,trim,-13.3164,0.0,0.01610544645224056,153.29228355028374
2020-06-09 00:00:00+00:00,9772.43,1.0,30.1073,0.0,trim,-13.3843,0.0,0.015766198991318467,154.07407600873034
2020-06-16 00:00:00+00:00,9525.59,1.0,31.7673,0.0,trim,-12.9,0.0,0.015589403641558648,148.49826743399464
2020-06-23 00:00:00+00:00,9624.89,1.0,32.6517,0.0,trim,-12.9555,0.0,0.015494910779963266,149.13681181696063
2020-06-30 00:00:00+00:00,9138.55,1.0,35.8704,0.0,trim,-16.3578,0.0,0.020605323204912204,188.3027763742504
2020-07-07 00:00:00+00:00,9257.39,1.0,38.3256,0.0,trim,-16.3546,0.0,0.02033683823419564,188.26604290086038
2020-07-14 00:00:00+00:00,9255.85,1.0,39.8964,0.0,trim,-16.2127,0.0,0.020163795819404983,186.63306953503962
2020-07-21 00:00:00+00:00,9390.0,1.0,40.7933,0.0,trim,-16.367,0.0,0.02006488754376644,188.4092940359669
2020-07-28 00:00:00+00:00,10906.27,1.0,43.2627,0.0,trim,-18.7924,0.0,0.01983525154136378,216.32860882802953
2020-08-04 00:00:00+00:00,11191.97,1.0,49.4167,0.0,trim,-23.0857,0.0,0.023744833786728488,265.7514673960516
2020-08-11 00:00:00+00:00,11392.08,1.0,53.907,0.0,trim,-23.1048,0.0,0.02334700804761409,265.9709834390635
2020-08-18 00:00:00+00:00,11945.01,1.0,57.4814,0.0,trim,-23.9119,0.0,0.02304406546499046,275.26159241996567
2020-08-25 00:00:00+00:00,11318.42,1.0,57.877,0.0,trim,-22.6193,0.0,0.023005150853817814,260.3819595268686
2020-09-01 00:00:00+00:00,11921.97,1.0,62.4587,0.0,trim,-27.7621,0.0,0.02680631033474861,319.5840276215629
2020-09-08 00:00:00+00:00,10126.65,1.0,61.7482,0.0,trim,-23.639,0.0,0.02687173137107253,272.1206184888716
2020-09-15 00:00:00+00:00,10785.31,1.0,62.3823,0.0,trim,-25.1171,0.0,0.02680833925107669,289.1362494080299
2020-09-22 00:00:00+00:00,10529.61,1.0,62.1366,0.0,trim,-24.5387,0.0,0.026826984048580076,282.47767950776927
2020-09-29 00:00:00+00:00,10840.48,1.0,66.1236,0.0,trim,-29.2512,0.0,0.031061895353317413,336.72585533973034
2020-10-06 00:00:00+00:00,10599.66,1.0,68.8472,0.0,trim,-28.3601,0.0,0.030799846464195195,326.4679005726712
2020-10-13 00:00:00+00:00,11420.56,1.0,72.2834,0.0,trim,-30.253,0.0,0.030493965362262735,348.2581610576433
2020-10-20 00:00:00+00:00,11909.99,1.0,75.4518,0.0,trim,-31.2691,0.0,0.030222952105517554,359.955057347193
2020-10-27 00:00:00+00:00,13636.17,1.0,80.9834,0.0,trim,-35.315,0.0,0.029812520555492578,406.5285984231912
2020-11-03 00:00:00+00:00,14023.53,1.0,89.5877,0.0,trim,-39.9036,0.0,0.03275574759409605,459.35120905823385
2020-11-10 00:00:00+00:00,15297.21,1.0,98.1775,0.0,trim,-42.775,0.0,0.032189187045227316,492.4047539601217
2020-11-17 00:00:00+00:00,17659.38,1.0,109.2709,0.0,trim,-48.4091,0.0,0.031556141620189514,557.2618962047424
2020-11-24 00:00:00+00:00,19160.01,1.0,119.3125,0.0,trim,-51.6423,0.0,0.031027178769189402,594.4810554894566
2020-12-01 00:00:00+00:00,18764.96,1.0,127.8007,0.0,trim,-54.1706,0.0,0.03323139231008189,623.5857474429943
2020-12-08 00:00:00+00:00,18324.11,1.0,131.1496,0.0,trim,-52.5982,0.0,0.033043069386187854,605.4848381701387
2020-12-15 00:00:00+00:00,19426.43,1.0,134.874,0.0,trim,-55.4295,0.0,0.032845831698545366,638.0772502835727
2020-12-22 00:00:00+00:00,23810.79,1.0,148.1864,0.0,trim,-66.7725,0.0,0.032281690224394075,768.6525467781003
2020-12-29 00:00:00+00:00,27385.0,1.0,170.158,0.0,trim,-79.2143,0.0,0.033298374592135326,911.8759882056258
2021-01-05 00:00:00+00:00,33949.53,1.0,202.0712,0.0,trim,-95.4168,0.0,0.03235367149763796,1098.3919411192048
2021-01-12 00:00:00+00:00,34051.24,1.0,221.8342,0.0,trim,-93.9713,0.0,0.03176833987138442,1081.7513653620802
2021-01-19 00:00:00+00:00,35891.49,1.0,235.8104,0.0,trim,-97.8199,0.0,0.03137387430153059,1126.055095754642
2021-01-26 00:00:00+00:00,32467.77,1.0,232.9283,0.0,trim,-88.7235,0.0,0.03145708514133328,1021.3414052392264
2021-02-02 00:00:00+00:00,35466.24,1.0,239.6049,0.0,trim,-100.6595,0.0,0.03267172245845976,1158.7431499251236
2021-02-09 00:00:00+00:00,46420.42,1.0,273.1291,0.0,trim,-128.8177,0.0,0.031944705903055474,1482.8866647963143
2021-02-16 00:00:00+00:00,49133.45,1.0,302.8664,0.0,trim,-133.7425,0.0,0.03133462808889843,1539.5783824744863
2021-02-23 00:00:00+00:00,48891.0,1.0,321.3374,0.0,trim,-131.4567,0.0,0.030951827368194226,1513.2657918583839
2021-03-02 00:00:00+00:00,48440.65,1.0,331.3602,0.0,trim,-133.6919,0.0,0.03177076113144378,1538.9963202018723
2021-03-09 00:00:00+00:00,54884.5,1.0,349.3243,0.0,trim,-149.8914,0.0,0.03143831551290472,1725.476227768019
2021-03-16 00:00:00+00:00,56900.75,1.0,366.0484,0.0,trim,-153.9197,0.0,0.031139280256072863,1771.848401030738
2021-03-23 00:00:00+00:00,54340.89,1.0,370.4004,0.0,trim,-146.592,0.0,0.03105387470039143,1687.4951891677538
